@relation vectores_clustered

@attribute Instance_number numeric
@attribute caracteristica0 numeric
@attribute caracteristica1 numeric
@attribute caracteristica2 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
0,8958.503906,404.484375,0,cluster8
1,11895.958984,273.359375,0,cluster8
2,2433.436523,985.699219,0,cluster6
3,8776.629883,206.464844,0,cluster8
4,5924.700684,339.882813,0,cluster8
5,2585.987305,1063.0625,0,cluster6
6,6915.381348,651.054688,0,cluster8
7,15660.295898,208.664063,0,cluster0
8,7388.207031,738.804688,0.488623,cluster3
9,1575.617676,1459.152344,0.370704,cluster4
10,906.78302,1860.710938,0.746918,cluster1
11,849.38916,2045.375,0.828548,cluster1
12,737.334778,2739.042969,0.921897,cluster1
13,746.667908,2837.058594,0.877748,cluster1
14,851.618164,3099.210938,0.91429,cluster1
15,899.645691,1983.488281,0.826676,cluster1
16,1186.26123,1683.136719,0.789619,cluster1
17,1091.404541,2054.734375,0.779828,cluster1
18,754.012451,2753.730469,0.70235,cluster1
19,1112.670532,2017.539063,0.693095,cluster1
20,2804.087891,1268.960938,0.652818,cluster3
21,5018.925781,717.683594,0.820597,cluster3
22,3117.81958,837.648438,0,cluster8
23,3172.780029,817.667969,0,cluster8
24,9406.080078,244.972656,0,cluster8
25,9173.334961,198.347656,0,cluster8
26,3412.998779,574.960938,0,cluster8
27,8746.40625,297.371094,0,cluster8
28,10127.262695,301.386719,0,cluster8
29,4333.672363,634.480469,0,cluster8
30,6747.875488,288.71875,0,cluster8
31,6485.742188,313.40625,0,cluster8
32,3693.878906,748.058594,0,cluster8
33,17377.005859,198.359375,0,cluster0
34,20039.056641,164.09375,0,cluster0
35,4128.612305,1280.71875,0.62365,cluster3
36,1284.766235,1708.996094,0.52273,cluster7
37,888.534119,2748.695313,0.667194,cluster1
38,781.552185,2598.507813,0.725686,cluster1
39,1050.038452,2066.554688,0.831416,cluster1
40,1004.908447,2248.167969,0.851196,cluster1
41,900.795654,2527.722656,0.861703,cluster1
42,877.431274,2137.679688,0.800317,cluster1
43,950.675537,1670.613281,0.725633,cluster1
44,806.882202,2421.503906,0.638186,cluster7
45,742.765747,2457.957031,0.797176,cluster1
46,884.679443,2148.472656,0.602156,cluster7
47,731.760498,2605.988281,0.708233,cluster1
48,848.779785,2453.148438,0.654831,cluster7
49,1659.397095,2236.992188,0.487098,cluster7
50,20686.642578,172.320313,0,cluster0
51,6745.92627,474.464844,0,cluster8
52,17867.876953,159.09375,0,cluster0
53,6656.149414,405.492188,0,cluster8
54,4129.604004,504.503906,0,cluster8
55,3435.415527,734.050781,0,cluster8
56,4187.807617,733.789063,0,cluster8
57,1461.151489,1123.332031,0,cluster6
58,7620.068848,288.730469,0,cluster8
59,4057.435059,601.101563,0,cluster8
60,12909.854492,255.015625,0,cluster8
61,18638.71875,188.332031,0,cluster0
62,3908.970459,1520.167969,0.35986,cluster4
63,1445.357788,1848.6875,0.449972,cluster7
64,898.501343,1833.671875,0.468601,cluster7
65,1351.332031,1504.203125,0.831474,cluster1
66,1131.299683,2339.21875,0.901512,cluster1
67,790.084961,2628.421875,0.745785,cluster1
68,847.898254,3461.34375,0.832286,cluster1
69,1201.844482,2760.183594,0.791659,cluster1
70,1105.947388,2861.054688,0.821056,cluster1
71,1242.959229,1806,0.788393,cluster1
72,1093.755005,2336.355469,0.833486,cluster1
73,1092.523315,2011.414063,0.774029,cluster1
74,907.109253,1894.5,0.526557,cluster7
75,794.469055,2272.425781,0.755458,cluster1
76,764.532959,2895.609375,0.604886,cluster5
77,1295.192139,1760.859375,0.552046,cluster7
78,6808.435547,784.386719,0.344427,cluster4
79,20661.152344,173.179688,0,cluster0
80,7928.171387,594.609375,0,cluster8
81,10694.555664,342.121094,0,cluster8
82,11515.456055,265.292969,0,cluster8
83,7675.799805,328.503906,0,cluster8
84,2847.464844,683.050781,0,cluster8
85,2604.980713,701.777344,0,cluster8
86,9151.077148,296.175781,0,cluster8
87,11631.253906,301.316406,0,cluster8
88,22169.089844,150.707031,0,cluster0
89,5729.59668,889.164063,0.56876,cluster3
90,937.458618,2148.359375,0.719646,cluster1
91,794.318665,2654.425781,0.710017,cluster1
92,987.058105,2667.175781,0.813366,cluster1
93,1036.021973,2733.082031,0.779878,cluster1
94,1472.799194,1877.554688,0.85809,cluster1
95,1299.727295,2337.78125,0.858594,cluster1
96,1315.946167,2437.910156,0.916024,cluster1
97,1277.122314,2098.207031,0.754213,cluster1
98,1219.454834,2601.828125,0.519847,cluster7
99,1006.359253,2676.621094,0.789,cluster1
100,1517.986816,1835.277344,0.796058,cluster1
101,1172.668335,1796.691406,0.789243,cluster1
102,778.616089,2838.726563,0.673933,cluster1
103,725.880615,3763.445313,0.644368,cluster5
104,783.152588,2502.050781,0.576145,cluster7
105,735.666077,2469.746094,0.593465,cluster7
106,1889.217041,2769.730469,0.413893,cluster2
107,30989.171875,121.59375,0,cluster0
108,23053.425781,159.9375,0,cluster0
109,14535.896484,229.867188,0,cluster8
110,14306.330078,234.980469,0,cluster8
111,10806.725586,303.0625,0,cluster8
112,3275.640381,554.742188,0,cluster8
113,6017.814453,359.648438,0,cluster8
114,9147.933594,324.410156,0,cluster8
115,27898.492188,119.527344,0,cluster0
116,11012.956055,465.457031,0.573532,cluster3
117,1431.813965,2909.660156,0.474263,cluster5
118,907.584778,2133.132813,0.57677,cluster7
119,798.123047,3122.390625,0.726359,cluster1
120,1092.19165,2697.207031,0.869076,cluster1
121,1432.462769,2259.136719,0.818419,cluster1
122,986.602661,2716.742188,0.862247,cluster1
123,1008.039001,3333.695313,0.77839,cluster1
124,980.598877,3290.101563,0.807019,cluster1
125,1007.863098,2512.609375,0.77769,cluster1
126,1178.876221,2928.910156,0.813684,cluster1
127,1317.029175,2320.664063,0.842401,cluster1
128,1415.424194,2303.050781,0.7258,cluster1
129,1434.191162,2524.117188,0.51733,cluster7
130,1256.67688,2263.925781,0.653281,cluster7
131,1078.831299,2523.554688,0.569891,cluster7
132,811.369385,2921.441406,0.709135,cluster1
133,757.954895,2626.003906,0.516298,cluster7
134,995.681702,3274.261719,0.611151,cluster5
135,21816.453125,160.402344,0,cluster0
136,23299.732422,156.648438,0,cluster0
137,19849.779297,187.261719,0,cluster0
138,25943.873047,137.378906,0,cluster0
139,18545.632813,184.527344,0,cluster0
140,3062.48584,617.039063,0,cluster8
141,4687.666992,541.777344,0,cluster8
142,16544.158203,213.332031,0,cluster0
143,22404.564453,151.414063,0,cluster0
144,4931.315918,1359.898438,0.624205,cluster3
145,817.212708,2404.496094,0.621026,cluster7
146,1009.791992,2048.066406,0.581414,cluster7
147,1109.540405,2675.671875,0.752482,cluster1
148,1333.31958,2389.433594,0.778745,cluster1
149,1452.563843,1557.144531,0.498074,cluster3
150,1816.431885,1612.738281,0.682318,cluster3
151,1601.031372,1424.53125,0.587947,cluster3
152,1874.774658,1043.109375,0.628622,cluster3
153,1542.668579,1667.988281,0.581262,cluster3
154,1405.243408,2066.304688,0.783156,cluster1
155,1487.799805,2461.410156,0.742982,cluster1
156,1625.967407,1627.148438,0.818405,cluster1
157,1406.931641,2194.722656,0.76445,cluster1
158,1559.396973,1713.222656,0.451844,cluster7
159,1361.779175,1636.613281,0.411075,cluster4
160,1045.20459,2432.070313,0.592162,cluster7
161,762.835876,2399.792969,0.549474,cluster7
162,1060.220215,2698.742188,0.267384,cluster2
163,9884.041992,567.027344,0.082002,cluster8
164,27853.205078,130.492188,0,cluster0
165,32501.568359,117,0,cluster0
166,16280.350586,221.898438,0,cluster0
167,18843.095703,211.273438,0,cluster0
